author,poem_count,char_count,avg_chars_per_poem
白居易著,2616,219098,83.75305810397553
杜甫著,1151,121596,105.64378801042572
李白著,784,85689,109.29719387755102
齊己著,771,43925,56.97146562905318
劉禹錫著,682,54515,79.93401759530792
元稹著,583,75276,129.11835334476845
李商隱著,550,37757,68.64909090909092
韋應物著,542,38781,71.55166051660517
貫休著,533,44930,84.29643527204503
許渾著,507,29112,57.42011834319526
陸龜蒙著,502,42879,85.41633466135458
劉長卿著,501,33722,67.30938123752495
皎然著,495,36265,73.26262626262626
杜牧著,492,32504,66.0650406504065
羅隱著,466,27450,58.90557939914163
姚合著,458,30111,65.74454148471615
張籍著,434,26063,60.05299539170507
錢起著,429,29180,68.01864801864802
賈島著,404,21356,52.86138613861386
佚名,398,15541,39.04773869346734
岑參著,386,28567,74.00777202072538
孟郊著,384,36953,96.23177083333333
王建著,372,28962,77.85483870967742
韓愈著,360,55761,154.89166666666668
皮日休著,353,33137,93.87252124645893
王維著,341,24183,70.91788856304986
權德輿著,338,26593,78.6775147928994
方幹著,337,19836,58.86053412462908
張祜著,334,16204,48.51497005988024
韋莊著,334,21947,65.70958083832335
溫庭筠著,331,25753,77.8036253776435
杜荀鶴著,325,17176,52.84923076923077
盧綸著,317,20535,64.77917981072555
韓偓著,316,18087,57.2373417721519
張說著,294,21065,71.64965986394557
李中著,287,16021,55.822299651567945
戴叔倫著,283,14735,52.06713780918728
吳融著,283,19212,67.886925795053
孟浩然著,267,15535,58.18352059925093
薛能著,265,17444,65.82641509433962
李端著,256,15130,59.1015625
徐鉉著,255,18204,71.38823529411765
徐夤著,245,16000,65.3061224489796
皇甫冉著,239,13003,54.40585774058577
趙嘏著,238,12834,53.924369747899156
李群玉著,235,14513,61.757446808510636
司空圖著,230,15993,69.53478260869565
顧況著,222,14912,67.17117117117117
李嶠著,206,11683,56.713592233009706
李頻著,204,10570,51.81372549019608
高適著,203,21609,106.44827586206897
黃滔著,198,12008,60.64646464646464
鄭穀著,197,10818,54.91370558375635
周曇著,195,6809,34.91794871794872
張九齡著,192,16981,88.44270833333333
武元衡著,192,10508,54.729166666666664
宋之問著,189,13644,72.19047619047619
李賀著,188,17932,95.38297872340425
施肩吾著,186,7177,38.586021505376344
耿湋著,176,9481,53.86931818181818
鮑溶著,176,13940,79.20454545454545
司空曙著,173,8679,50.16763005780347
儲光羲著,171,18619,108.88304093567251
李洞著,168,9719,57.851190476190474
張喬著,168,8058,47.964285714285715
李益著,168,9919,59.041666666666664
朱慶餘著,168,8611,51.25595238095238
唐彥謙著,167,10774,64.51497005988024
馬戴著,165,8670,52.54545454545455
韓翃著,164,10627,64.79878048780488
胡曾著,163,5824,35.73006134969325
王昌齡著,162,10801,66.67283950617283
沈佺期著,153,11816,77.22875816993464
柳宗元著,153,16155,105.58823529411765
曹松著,146,7449,51.02054794520548
無名氏著,144,8664,60.166666666666664
楊巨源著,144,10471,72.71527777777777
羅鄴著,143,7783,54.42657342657343
李鹹用著,141,10311,73.12765957446808
劉得仁著,139,7841,56.410071942446045
許棠著,138,8046,58.30434782608695
李德裕著,136,8880,65.29411764705883
李嘉佑著,133,7000,52.63157894736842
李紳著,127,11851,93.31496062992126
李頎著,124,11180,90.16129032258064
雍陶著,123,5667,46.073170731707314
駱賓王著,120,12893,107.44166666666666
鄭谷著,114,6143,53.8859649122807
戎昱著,114,6770,59.3859649122807
劉商著,110,6072,55.2
陳陶著,110,11303,102.75454545454545
李涉著,106,6666,62.886792452830186
曹鄴著,106,6315,59.575471698113205
呂岩著,106,18649,175.93396226415095
呂溫著,104,5990,57.59615384615385
劉滄著,102,6417,62.911764705882355
蘇頲著,102,7080,69.41176470588235
張蠙著,102,5160,50.588235294117645
崔塗著,100,4680,46.8
無可著,98,5620,57.3469387755102
項斯著,98,4934,50.3469387755102
李白,97,6314,65.09278350515464
羊士諤著,95,5296,55.747368421052634
周賀著,93,4754,51.11827956989247
徐凝著,92,3508,38.130434782608695
元結著,90,9752,108.35555555555555
盧仝著,90,11434,127.04444444444445
薛逢著,90,6700,74.44444444444444
李建勳著,89,5065,56.91011235955056
陳子昂著,89,8691,97.65168539325843
李世民,87,5114,58.7816091954023
獨孤及著,81,7312,90.27160493827161
歐陽詹著,79,4606,58.30379746835443
薛濤著,78,3175,40.705128205128204
殷堯藩著,78,4298,55.1025641025641
李山甫著,78,5488,70.35897435897436
吳筠著,77,8341,108.32467532467533
孫元晏著,75,2550,34.0
王勃著,75,4507,60.093333333333334
劉兼著,73,4983,68.26027397260275
顧非熊著,72,3609,50.125
郎士元著,71,3535,49.7887323943662
李郢著,71,4014,56.53521126760563
劉言史著,69,4109,59.55072463768116
嚴維著,69,3956,57.333333333333336
章孝標著,68,3722,54.73529411764706
崔道融著,68,2296,33.76470588235294
劉駕著,68,4019,59.10294117647059
王貞白著,66,3566,54.03030303030303
喻鳧著,65,2976,45.784615384615385
李隆基,63,3798,60.285714285714285
牟融著,62,4039,65.14516129032258
孫逖著,61,3889,63.75409836065574
楊衡著,60,3649,60.81666666666667
汪遵著,60,2008,33.46666666666667
陳羽著,60,2811,46.85
盧照鄰著,56,3420,61.07142857142857
王周著,53,3144,59.320754716981135
裴夷直著,53,2081,39.264150943396224
盧照鄰,52,3513,67.5576923076923
裴說著,52,2659,51.13461538461539
常建著,51,4043,79.27450980392157
段成式著,51,4297,84.25490196078431
于武陵著,50,2315,46.3
皇甫曾著,50,2950,59.0
魚玄機著,49,2821,57.57142857142857
張繼著,48,2156,44.916666666666664
於鵠著,48,2749,57.270833333333336
高駢著,48,1936,40.333333333333336
崔峒著,48,2438,50.791666666666664
武則天,46,1451,31.543478260869566
令狐楚著,44,2561,58.20454545454545
靈一著,43,2094,48.69767441860465
王績,42,3196,76.0952380952381
李乂著,42,2362,56.23809523809524
曹唐著,41,7326,178.6829268292683
賈至著,41,2790,68.04878048780488
譚用之著,40,2613,65.325
張謂著,40,2483,62.075
竇鞏著,40,1707,42.675
司馬紮著,39,2334,59.84615384615385
楊凝著,39,1570,40.256410256410255
崔顥著,39,3845,98.58974358974359
儲嗣宗著,39,1718,44.05128205128205
杜審言著,39,3020,77.43589743589743
虞世南,38,2419,63.6578947368421
秦系著,38,1876,49.36842105263158
包佶著,38,2112,55.578947368421055
秦韜玉著,37,2274,61.45945945945946
祖詠著,37,2013,54.4054054054054
崔國輔著,37,1581,42.729729729729726
李遠著,36,1825,50.69444444444444
陸暢著,36,1334,37.05555555555556
魏征,36,1279,35.52777777777778
唐求著,36,1728,48.0
李咸用著,36,2253,62.583333333333336
於濆著,35,1894,54.114285714285714
李昌符著,35,1715,49.0
褚亮,34,1336,39.294117647058826
孫光憲著,34,4311,126.79411764705883
楊炯著,33,2769,83.9090909090909
姚鵠著,33,2156,65.33333333333333
尚顏著,33,1699,51.484848484848484
邵謁著,33,2132,64.60606060606061
林寬著,33,1725,52.27272727272727
聶夷中著,32,2017,63.03125
張泌著,32,2459,76.84375
馮延巳著,32,4187,130.84375
高蟾著,32,1171,36.59375
崔湜著,32,2332,72.875
孟貫著,31,1474,47.54838709677419
翁承贊著,31,1755,56.61290322580645
李賀,31,1130,36.45161290322581
徐彥伯著,31,2465,79.51612903225806
張祜,31,1127,36.354838709677416
雍裕之著,30,859,28.633333333333333
崔櫓著,30,1972,65.73333333333333
熊孺登著,30,1166,38.86666666666667
顏真卿著,30,3194,106.46666666666667
來鵠著,29,2017,69.55172413793103
鄭巢著,29,1380,47.58620689655172
杜光庭著,29,2054,70.82758620689656
盧肇著,29,1839,63.41379310344828
裴迪著,29,863,29.75862068965517
蘇拯著,29,1906,65.72413793103448
裴度著,28,2526,90.21428571428571
劉希夷著,28,3354,119.78571428571429
殷文圭著,28,1833,65.46428571428571
劉叉著,27,1809,67.0
張南史著,27,1768,65.48148148148148
修睦著,27,1257,46.55555555555556
劉威著,27,1524,56.44444444444444
李百藥著,26,1747,67.1923076923077
劉憲著,26,1406,54.07692307692308
沈亞之著,26,1799,69.1923076923077
盧象著,26,1875,72.11538461538461
綦毋潛著,26,1299,49.96153846153846
章碣著,26,1560,60.0
竇常著,26,1429,54.96153846153846
許敬宗,26,1678,64.53846153846153
朱放著,26,1039,39.96153846153846
周樸著,25,1202,48.08
歐陽炯著,25,3466,138.64
子蘭著,24,1105,46.041666666666664
劉方平著,24,1176,49.0
鄭愔著,24,1653,68.875
王涯著,24,2112,88.0
韓琮著,24,1305,54.375
朱灣著,23,1533,66.65217391304348
和凝著,23,5139,223.43478260869566
於鄴著,23,1008,43.82608695652174
竇群著,23,1063,46.21739130434783
白居易,23,1447,62.91304347826087
張仲素著,23,1366,59.391304347826086
毛文錫著,22,1708,77.63636363636364
張籍,22,884,40.18181818181818
清江著,22,1203,54.68181818181818
周繇著,22,1150,52.27272727272727
伍喬著,22,1347,61.22727272727273
李煜著,22,1814,82.45454545454545
陸希聲著,21,844,40.19047619047619
趙彥昭著,21,1080,51.42857142857143
周朴著,21,1136,54.095238095238095
孫魴著,21,2171,103.38095238095238
楊師道,21,938,44.666666666666664
竇牟著,21,1341,63.857142857142854
賀知章著,20,1171,58.55
成彥雄著,20,924,46.2
許彬著,20,1004,50.2
竇庠著,20,1748,87.4
楊淩著,20,730,36.5
趙嘏,20,800,40.0
李冶著,19,969,51.0
李九齡著,19,810,42.63157894736842
胡宿著,19,1172,61.68421052631579
上官儀,19,932,49.05263157894737
長孫佐輔著,19,1634,86.0
包何著,19,942,49.578947368421055
楊憑著,19,720,37.89473684210526
蕭穎士著,19,2582,135.89473684210526
沈佺期,18,775,43.05555555555556
貫休,18,936,52.0
劉禹錫,18,1528,84.88888888888889
任翻著,18,785,43.611111111111114
孟遲著,18,674,37.44444444444444
靈澈著,18,1046,58.111111111111114
于鵠著,18,1160,64.44444444444444
喻坦之著,18,1004,55.77777777777778
喬知之著,18,2127,118.16666666666667
郭震著,18,876,48.666666666666664
崔融1著,17,1460,85.88235294117646
王初著,17,852,50.11764705882353
顧夐著,17,2754,162.0
張又新著,17,665,39.11764705882353
皇甫松著,17,1071,63.0
董思恭著,17,823,48.411764705882355
孟雲卿著,17,1461,85.94117647058823
張子容著,17,1052,61.88235294117647
法振著,17,841,49.470588235294116
趙冬曦著,17,1284,75.52941176470588
陶翰著,17,1600,94.11764705882354
李適著,17,1016,59.76470588235294
徐氏,16,476,29.75
李煜,16,632,39.5
劉複著,16,1174,73.375
劉昚虛著,16,1083,67.6875
棲白著,16,774,48.375
沈彬著,16,1234,77.125
李珣著,16,2681,167.5625
朱景玄著,16,575,35.9375
陸龜蒙,16,697,43.5625
溫庭筠,16,712,44.5
梁鍠著,16,737,46.0625
孟郊,16,974,60.875
王轂著,16,989,61.8125
王建,16,984,61.5
廣宣著,16,1026,64.125
張賁著,16,763,47.6875
王仁裕著,15,939,62.6
暢當著,15,851,56.733333333333334
蘇味道著,15,994,66.26666666666667
武平一著,15,926,61.733333333333334
虛中著,15,770,51.333333333333336
蔣吉著,15,474,31.6
鄭遨著,15,661,44.06666666666667
褚載著,15,808,53.86666666666667
崔國輔,15,460,30.666666666666668
張碧著,15,1520,101.33333333333333
崔曙著,15,904,60.266666666666666
劉昭禹著,15,734,48.93333333333333
李適,15,978,65.2
鄭畋著,15,914,60.93333333333333
李華著,14,2532,180.85714285714286
王翰著,14,1604,114.57142857142857
盧延讓著,14,820,58.57142857142857
牛嶠著,14,1487,106.21428571428571
顧況,13,790,60.76923076923077
李紓著,13,520,40.0
薛據著,13,1073,82.53846153846153
丘為著,13,879,67.61538461538461
王季友1著,13,1066,82.0
陳子良,13,694,53.38461538461539
閻朝隱著,13,902,69.38461538461539
翁洮著,13,795,61.15384615384615
薛稷著,13,742,57.07692307692308
盧殷著,13,471,36.23076923076923
盧僎著,13,1149,88.38461538461539
楊發著,13,700,53.84615384615385
李端,13,930,71.53846153846153
丘丹著,13,777,59.76923076923077
毛熙震著,13,1563,120.23076923076923
陳去疾著,12,604,50.333333333333336
張諤著,12,572,47.666666666666664
柳中庸著,12,528,44.0
楊夔著,12,722,60.166666666666664
孔德紹著,12,723,60.25
薛瑩著,12,385,32.083333333333336
吳仁璧著,12,473,39.416666666666664
棲蟾著,12,574,47.833333333333336
韋處厚著,12,288,24.0
薛存誠著,12,861,71.75
尹鶚著,12,1059,88.25
蔣防著,12,828,69.0
柳宗元,12,767,63.916666666666664
陳標著,12,642,53.5
馬懷素著,12,632,52.666666666666664
崔日用著,12,650,54.166666666666664
護國著,12,686,57.166666666666664
徐安貞著,12,619,51.583333333333336
聶夷中,11,500,45.45454545454545
崔玨著,11,1325,120.45454545454545
左偃著,11,356,32.36363636363637
于鄴著,11,453,41.18181818181818
冷朝陽著,11,530,48.18181818181818
水神著,11,1139,103.54545454545455
王灣著,11,1279,116.27272727272727
熊皎著,11,644,58.54545454545455
皎然,11,500,45.45454545454545
丁仙芝著,11,757,68.81818181818181
韋蟾著,10,689,68.9
盧鴻一著,10,1328,132.8
李赤著,10,480,48.0
韋元旦著,10,566,56.6
鄭錫著,10,476,47.6
可止著,10,521,52.1
費冠卿著,10,701,70.1
常袞著,10,879,87.9
包佶,10,312,31.2
于濆著,10,580,58.0
蔣貽恭著,10,408,40.8
鮑溶,10,814,81.4
姚系著,10,660,66.0
竇叔向著,10,524,52.4
崔涯著,9,462,51.333333333333336
武三思著,9,726,80.66666666666667
蕭至忠著,9,532,59.111111111111114
李義府,9,596,66.22222222222223
江為著,9,353,39.22222222222222
楊汝士著,9,454,50.44444444444444
李廓著,9,917,101.88888888888889
韓愈,9,409,45.44444444444444
徐堅著,9,561,62.333333333333336
翁綬著,9,507,56.333333333333336
盧士衡著,9,500,55.55555555555556
莊南傑著,9,622,69.11111111111111
施肩吾,9,286,31.77777777777778
齊己,9,347,38.55555555555556
吳商浩著,9,435,48.333333333333336
李昭象著,9,446,49.55555555555556
處默著,9,396,44.0
王維,9,452,50.22222222222222
歐陽袞著,9,458,50.888888888888886
令狐楚,8,670,83.75
薛曜著,8,681,85.125
鮑防著,8,517,64.625
李約著,8,475,59.375
韋應物,8,306,38.25
王涯,8,348,43.5
顧雲著,8,1180,147.5
張登著,8,421,52.625
王睿著,8,428,53.5
元稹,8,1030,128.75
張文琮,8,318,39.75
盧藏用著,8,740,92.5
陳潤著,8,374,46.75
李治,8,486,60.75
袁暉著,8,456,57.0
韓溉著,8,434,54.25
王昌齡,8,588,73.5
李益,8,283,35.375
伊用昌著,8,371,46.375
包融著,8,539,67.375
李逢吉著,8,526,65.75
萬楚著,8,467,58.375
王縉著,8,426,53.25
李敬方著,8,844,105.5
孟賓於著,8,533,66.625
薛昭蘊著,8,1006,125.75
陳叔達,8,310,38.75
魏承班著,8,1114,139.25
張仲素,7,288,41.142857142857146
霍總著,7,361,51.57142857142857
麹信陵著,7,238,34.0
廖融著,7,344,49.142857142857146
李翱著,7,348,49.714285714285715
徐仲雅著,7,636,90.85714285714286
史鳳著,7,238,34.0
于季子著,7,286,40.857142857142854
韋嗣立著,7,748,106.85714285714286
劉象著,7,414,59.142857142857146
蔣冽著,7,441,63.0
錢珝著,7,2732,390.2857142857143
李忱,7,141,20.142857142857142
姚崇著,7,349,49.857142857142854
劉孝孫,7,360,51.42857142857143
舒元輿著,7,1278,182.57142857142858
王駕著,7,260,37.142857142857146
賀朝著,7,542,77.42857142857143
閻選著,7,557,79.57142857142857
宗楚客著,7,376,53.714285714285715
韋承慶著,7,370,52.857142857142854
白行簡著,7,465,66.42857142857143
